date,users,pageviews
2021-08-01,70,103
2021-08-02,170,630
2021-08-03,181,803
2021-08-04,217,896
2021-08-05,209,738
2021-08-06,189,768
2021-08-07,66,189
2021-08-08,70,110
2021-08-09,251,750
2021-08-10,228,858
2021-08-11,246,872
2021-08-12,236,720
21-8-13,192,677
21-8-14,88,181
21-8-15,70,128
21-8-16,287,964
21-8-17,324,1011
21-8-18,322,1320
21-8-19,339,837
21-8-20,304,575
21-8-21,244,392
21-8-22,239,381
21-8-23,405,934
21-8-24,383,1178
21-8-25,417,1134
21-8-26,394,987
21-8-27,448,839
21-8-28,219,313
21-8-29,222,299
21-8-30,214,288
21-8-31,822,4603
2021-09-01,1548,6270
2021-09-02,1068,3327
2021-09-03,1115,3198
2021-09-04,433,901
2021-09-05,417,820
2021-09-06,1082,3322
2021-09-07,1143,3665
2021-09-08,1123,3432
2021-09-09,1221,3237
2021-09-10,852,2436
2021-09-11,366,903
2021-09-12,404,786
21-9-13,1007,3253
21-9-14,1093,3606
21-9-15,1254,4192
21-9-16,1003,3044
21-9-17,1080,2967
21-9-18,464,886
21-9-19,408,1101
21-9-20,2045,6980
21-9-21,1728,5457
21-9-22,1318,3771
21-9-23,3429,5621
21-9-24,857,2046
21-9-25,316,653
21-9-26,271,496
21-9-27,815,2356
21-9-28,752,2009
21-9-29,792,1916
21-9-30,633,1468
2021-10-01,319,723
2021-10-02,92,199
2021-10-03,74,130
2021-10-04,201,493
2021-10-05,405,590
2021-10-06,112,222
2021-10-07,116,227
2021-10-08,78,156
2021-10-09,39,65
2021-10-10,24,44
2021-10-11,67,130
2021-10-12,69,139
21-10-13,59,135
21-10-14,66,113
