date,impressions_total,clicks_total,reactions_total,comments_total,reposts_total,engagement_rate_total
2021-10-11,1006,69,15,0,0,0.08
2021-10-12,653,37,10,0,0,0.07
2021-10-13,242,7,2,0,0,0.04
2021-10-14,130,16,3,0,0,0.15
2021-10-15,67,1,0,0,0,0.01
2021-10-16,52,2,2,0,0,0.08
2021-10-17,44,1,0,0,0,0.02
2021-10-18,47,1,1,0,0,0.04
2021-10-19,530,17,7,0,3,0.05
2021-10-20,140,3,1,0,0,0.03
2021-10-21,1774,49,69,0,3,0.07
2021-10-22,1099,37,32,0,5,0.07
2021-10-23,259,5,8,0,0,0.05
2021-10-24,256,3,2,0,2,0.03
2021-10-25,365,9,9,0,1,0.05
2021-10-26,198,8,3,0,1,0.06
2021-10-27,120,4,1,0,1,0.05
2021-10-28,84,3,1,0,0,0.05
2021-10-29,75,3,2,0,0,0.07
2021-10-30,41,0,0,0,0,0.0
2021-10-31,34,0,0,0,0,0.0
2021-11-01,61,0,0,0,0,0.0
2021-11-02,66,1,0,0,0,0.02
2021-11-03,43,0,0,0,0,0.0
2021-11-04,49,0,0,0,0,0.0
2021-11-05,14,0,0,0,0,0.0
2021-11-06,32,1,0,0,0,0.03
2021-11-07,53,3,0,0,0,0.06
2021-11-08,359,6,5,0,1,0.03
2021-11-09,157,3,2,0,0,0.03
2021-11-10,94,1,0,0,0,0.01
2021-11-11,326,9,6,1,3,0.06
2021-11-12,95,1,0,0,0,0.01
2021-11-13,42,0,0,0,0,0.0
2021-11-14,51,1,0,0,0,0.02
2021-11-15,42,0,0,0,0,0.0
2021-11-16,29,1,0,0,-4,-0.1
2021-11-17,38,1,0,0,0,0.03
2021-11-18,364,12,9,2,0,0.06
2021-11-19,105,4,0,0,2,0.06
2021-11-20,36,0,0,0,0,0.0
2021-11-21,59,2,2,0,0,0.07
2021-11-22,51,0,0,0,0,0.0
2021-11-23,68,1,0,0,0,0.01
2021-11-24,26,0,0,0,0,0.0
2021-11-25,56,0,0,0,0,0.0
2021-11-26,38,0,0,0,0,0.0
2021-11-27,42,0,0,0,0,0.0
