date,emailSentCount,emailUniqueOpen,emailUniqueClick
2021-10-04T10:52:13.000Z,2935,1123,68
2021-09-27T05:34:26.000Z,2929,782,91
2021-09-19T13:25:32.000Z,2906,723,130
2021-09-13T12:06:40.000Z,5021,1085,165
2021-08-31T14:18:27.000Z,5003,1069,336
2021-08-16T13:57:55.000Z,4879,1048,97
2021-08-09T13:03:10.000Z,5022,972,91
2021-07-26T13:52:22.000Z,5000,970,108
2021-07-12T09:46:33.000Z,241,96,19
2021-06-17T13:02:18.000Z,4824,1069,123
2021-06-17T16:42:41.000Z,678,139,17
2021-06-14T13:06:41.000Z,2815,751,83
2021-05-04T12:36:48.000Z,4854,1033,139
2021-04-23T09:37:14.000Z,4754,1171,180
2021-04-09T08:32:15.000Z,4504,1096,366
2020-10-06T08:08:02.000Z,161,78,15
2020-10-06T08:08:02.000Z,2123,597,68
2020-09-17T13:07:18.000Z,2311,701,175
2020-09-14T09:45:55.000Z,2198,628,152
2020-08-28T16:34:31.000Z,2218,750,316
2020-08-18T15:11:36.000Z,307,74,21
2020-08-04T13:17:38.000Z,320,90,23
2020-07-31T14:05:30.000Z,2230,968,144
2020-07-01T07:21:57.000Z,2500,958,112
